date,open,high,low,close,volume,shares_outstanding_bn,market_cap_usd_bn,quarterly_revenue_usd_bn,sma_20,sma_50,sma_200,rsi_14,stock_split,era,key_event
22/01/1999,0.0314,0.0315,0.0312,0.0313,4156178,0.6,0.02,1.33,0.0317,0.0294,0.0312,42.6,,Pre-GPU Era,NVDA IPO on NASDAQ
25/01/1999,0.031,0.0317,0.0308,0.0313,17362290,0.614,0.02,1.92,0.0312,0.0333,0.0349,59.9,,Pre-GPU Era,NVDA IPO on NASDAQ
26/01/1999,0.0315,0.0318,0.0312,0.0315,10531814,0.612,0.02,2.17,0.0327,0.0299,0.0359,58.4,,Pre-GPU Era,NVDA IPO on NASDAQ
27/01/1999,0.0315,0.0319,0.0309,0.0314,14602646,0.618,0.02,1,0.0309,0.0293,0.0292,45.4,,Pre-GPU Era,NVDA IPO on NASDAQ
28/01/1999,0.0313,0.0315,0.0313,0.0314,19343208,0.602,0.02,1.53,0.0305,0.0294,0.0327,40.2,,Pre-GPU Era,NVDA IPO on NASDAQ
29/01/1999,0.0315,0.0318,0.0311,0.0314,16217248,0.613,0.02,1.11,0.0303,0.0296,0.0329,42.6,,Pre-GPU Era,NVDA IPO on NASDAQ
01/02/1999,0.0312,0.0315,0.0311,0.0313,4197956,0.611,0.02,0.86,0.0308,0.0329,0.0268,56.5,,Pre-GPU Era,
02/02/1999,0.0312,0.0316,0.0306,0.0311,3445215,0.615,0.02,1.9,0.0309,0.031,0.0331,67.8,,Pre-GPU Era,
03/02/1999,0.0311,0.0313,0.0308,0.0311,12410199,0.61,0.02,2.48,0.0319,0.0322,0.0284,67.8,,Pre-GPU Era,
04/02/1999,0.0311,0.0317,0.0309,0.0312,12137559,0.598,0.02,2.02,0.0323,0.032,0.0348,53.4,,Pre-GPU Era,
05/02/1999,0.0312,0.0317,0.0306,0.0311,5719931,0.598,0.02,1.49,0.0313,0.0291,0.0309,67.2,,Pre-GPU Era,
08/02/1999,0.0313,0.0315,0.031,0.0312,17522891,0.619,0.02,2.49,0.0322,0.0294,0.0296,70.1,,Pre-GPU Era,
09/02/1999,0.031,0.0316,0.0305,0.031,17178599,0.594,0.02,1.93,0.032,0.0307,0.0302,53.1,,Pre-GPU Era,
10/02/1999,0.0313,0.0314,0.031,0.0312,7118036,0.612,0.02,2.15,0.0308,0.0324,0.0357,61.7,,Pre-GPU Era,
11/02/1999,0.0311,0.0316,0.0309,0.0313,5953089,0.592,0.02,1.95,0.0309,0.0312,0.033,69,,Pre-GPU Era,
12/02/1999,0.0312,0.0318,0.0309,0.0313,9178559,0.614,0.02,2.47,0.031,0.0328,0.0359,71.5,,Pre-GPU Era,
15/02/1999,0.0314,0.0318,0.0312,0.0315,3216028,0.592,0.02,1.79,0.0306,0.0295,0.0304,59.2,,Pre-GPU Era,
16/02/1999,0.0313,0.0314,0.0312,0.0313,5187002,0.593,0.02,0.88,0.0313,0.0302,0.0275,52.4,,Pre-GPU Era,
17/02/1999,0.0314,0.0317,0.0305,0.0311,18654773,0.609,0.02,0.8,0.0323,0.0307,0.0313,44.6,,Pre-GPU Era,
18/02/1999,0.0312,0.0315,0.0306,0.031,19418734,0.597,0.02,1.54,0.0301,0.029,0.0269,70,,Pre-GPU Era,
19/02/1999,0.0309,0.0316,0.0307,0.0312,2037972,0.605,0.02,1.86,0.0313,0.0321,0.0295,42.7,,Pre-GPU Era,
22/02/1999,0.0311,0.0313,0.031,0.0312,4767333,0.6,0.02,1.53,0.0317,0.0291,0.0295,64.5,,Pre-GPU Era,
23/02/1999,0.0314,0.0317,0.0307,0.0312,12718801,0.609,0.02,2.44,0.0324,0.0307,0.032,42.8,,Pre-GPU Era,
24/02/1999,0.0312,0.0313,0.031,0.0312,7220421,0.615,0.02,2.15,0.0318,0.0294,0.034,69.3,,Pre-GPU Era,
25/02/1999,0.0314,0.0315,0.0312,0.0314,15702784,0.595,0.02,1.76,0.0312,0.0298,0.0311,43.6,,Pre-GPU Era,
26/02/1999,0.0313,0.0317,0.0307,0.0311,7532022,0.613,0.02,1.94,0.031,0.0328,0.0322,71.7,,Pre-GPU Era,
01/03/1999,0.0312,0.0315,0.0308,0.0312,13680331,0.596,0.02,1.42,0.0305,0.0313,0.0328,65.2,,Pre-GPU Era,
02/03/1999,0.0313,0.0314,0.0312,0.0313,4009414,0.593,0.02,1.99,0.031,0.0321,0.0344,67,,Pre-GPU Era,
03/03/1999,0.0315,0.0316,0.0312,0.0314,16714486,0.6,0.02,1.18,0.0321,0.0335,0.0269,61.5,,Pre-GPU Era,
04/03/1999,0.0313,0.0314,0.0312,0.0313,10778913,0.599,0.02,1.81,0.0309,0.0292,0.0275,47.9,,Pre-GPU Era,
05/03/1999,0.0312,0.0317,0.031,0.0314,4911261,0.603,0.02,2.43,0.032,0.0328,0.0293,61.2,,Pre-GPU Era,
08/03/1999,0.0314,0.0318,0.0308,0.0313,11314502,0.62,0.02,1.52,0.0305,0.0312,0.0288,57.1,,Pre-GPU Era,
09/03/1999,0.0311,0.0314,0.031,0.0312,4224462,0.602,0.02,1.87,0.0319,0.032,0.0328,43.1,,Pre-GPU Era,
10/03/1999,0.0315,0.0316,0.0311,0.0314,15815045,0.593,0.02,1.61,0.0323,0.0316,0.0271,71.1,,Pre-GPU Era,
11/03/1999,0.0313,0.0318,0.0309,0.0315,2497502,0.605,0.02,2.34,0.0304,0.0322,0.0269,59.4,,Pre-GPU Era,
12/03/1999,0.0312,0.0317,0.0309,0.0313,4419657,0.603,0.02,1.91,0.0313,0.0323,0.0311,47.8,,Pre-GPU Era,
15/03/1999,0.0314,0.0319,0.0312,0.0315,6203251,0.61,0.02,2.09,0.0311,0.0328,0.03,46.7,,Pre-GPU Era,
16/03/1999,0.0317,0.0318,0.0313,0.0316,19549151,0.595,0.02,0.98,0.0321,0.0328,0.0316,50.4,,Pre-GPU Era,
17/03/1999,0.0317,0.0319,0.0312,0.0316,7912690,0.593,0.02,2.08,0.0321,0.033,0.0301,69.6,,Pre-GPU Era,
18/03/1999,0.0314,0.0315,0.0313,0.0314,6755861,0.598,0.02,1.26,0.0324,0.0326,0.0354,40.1,,Pre-GPU Era,
19/03/1999,0.0309,0.0314,0.0307,0.0311,15222092,0.604,0.02,1.94,0.0311,0.0329,0.0321,39.3,,Pre-GPU Era,
22/03/1999,0.0311,0.0314,0.031,0.0312,4546288,0.611,0.02,1.88,0.0323,0.0299,0.0358,66.3,,Pre-GPU Era,
23/03/1999,0.031,0.0316,0.0308,0.0312,4290869,0.61,0.02,1.76,0.03,0.0299,0.0338,47.4,,Pre-GPU Era,
24/03/1999,0.0312,0.0315,0.0308,0.0312,5698031,0.604,0.02,1,0.0315,0.0307,0.0298,66.1,,Pre-GPU Era,
25/03/1999,0.0314,0.0314,0.0312,0.0313,17056939,0.616,0.02,1.76,0.0317,0.0305,0.0301,40.8,,Pre-GPU Era,
26/03/1999,0.0316,0.0319,0.0311,0.0314,16180224,0.59,0.02,0.85,0.0306,0.0301,0.0339,62,,Pre-GPU Era,
29/03/1999,0.0318,0.032,0.0312,0.0315,15834386,0.608,0.02,1.44,0.0312,0.0299,0.0357,63.5,,Pre-GPU Era,
30/03/1999,0.0312,0.0314,0.0312,0.0313,12380094,0.593,0.02,1.59,0.0322,0.0303,0.0338,44.2,,Pre-GPU Era,
31/03/1999,0.0314,0.0316,0.0308,0.0311,5381281,0.595,0.02,1.75,0.0315,0.0292,0.0346,44.3,,Pre-GPU Era,
01/04/1999,0.0312,0.0314,0.031,0.0312,15550555,0.616,0.02,1.45,0.0324,0.0302,0.0295,69.3,,Pre-GPU Era,
02/04/1999,0.0313,0.0316,0.0308,0.0312,9329160,0.603,0.02,2.34,0.0314,0.0315,0.029,58.7,,Pre-GPU Era,
05/04/1999,0.0313,0.0315,0.0307,0.0312,19946765,0.604,0.02,1.11,0.0307,0.0324,0.0308,68,,Pre-GPU Era,
06/04/1999,0.0312,0.0314,0.031,0.0312,12906180,0.62,0.02,1,0.0303,0.0296,0.0329,50.7,,Pre-GPU Era,
07/04/1999,0.0314,0.0317,0.0308,0.0313,7759166,0.619,0.02,1.07,0.0317,0.0301,0.0313,65.2,,Pre-GPU Era,
08/04/1999,0.0316,0.0317,0.031,0.0313,6045767,0.597,0.02,1.38,0.0302,0.0306,0.0309,70.5,,Pre-GPU Era,
09/04/1999,0.0313,0.0316,0.0311,0.0313,16476023,0.59,0.02,0.87,0.0325,0.0297,0.0304,69.7,,Pre-GPU Era,
12/04/1999,0.0315,0.0316,0.0311,0.0313,3854711,0.612,0.02,2.13,0.0325,0.0313,0.0324,49.4,,Pre-GPU Era,
13/04/1999,0.0318,0.032,0.0312,0.0316,16146958,0.596,0.02,1.22,0.0322,0.0298,0.0302,69,,Pre-GPU Era,
14/04/1999,0.0313,0.0318,0.031,0.0315,15839247,0.612,0.02,2.1,0.0315,0.0329,0.0347,50.3,,Pre-GPU Era,
15/04/1999,0.0314,0.0316,0.0309,0.0312,9599789,0.594,0.02,2.03,0.0304,0.0321,0.033,53.6,,Pre-GPU Era,
16/04/1999,0.0314,0.0315,0.0313,0.0314,6058675,0.615,0.02,2.09,0.0306,0.0324,0.033,63.4,,Pre-GPU Era,
19/04/1999,0.0312,0.0313,0.0311,0.0312,5922734,0.612,0.02,2.37,0.0301,0.0291,0.0331,47.5,,Pre-GPU Era,
20/04/1999,0.0312,0.0314,0.0309,0.0311,9695255,0.615,0.02,1.09,0.0322,0.0312,0.035,45.1,,Pre-GPU Era,
21/04/1999,0.0315,0.0318,0.031,0.0315,11998511,0.593,0.02,2.41,0.0316,0.0306,0.0333,39.5,,Pre-GPU Era,
22/04/1999,0.0315,0.0316,0.0311,0.0313,7122055,0.595,0.02,1.42,0.0303,0.0328,0.0296,52.9,,Pre-GPU Era,
23/04/1999,0.0312,0.0314,0.0309,0.0312,11290748,0.615,0.02,2.22,0.0321,0.0325,0.0311,51,,Pre-GPU Era,
26/04/1999,0.0314,0.0318,0.0309,0.0313,7260550,0.614,0.02,2.24,0.0306,0.0322,0.0335,44,,Pre-GPU Era,
27/04/1999,0.0323,0.0326,0.0321,0.0323,2802735,0.606,0.02,2.23,0.0324,0.0302,0.0277,58.6,,Pre-GPU Era,
28/04/1999,0.034,0.0342,0.0337,0.0339,7775469,0.6,0.02,2.49,0.0338,0.0356,0.031,55.2,,Pre-GPU Era,
29/04/1999,0.0357,0.0362,0.0347,0.0354,8526784,0.612,0.02,1.85,0.0342,0.0335,0.0312,62.6,,Pre-GPU Era,
30/04/1999,0.037,0.0372,0.0368,0.037,16394558,0.59,0.02,1.24,0.038,0.0384,0.0352,38.1,,Pre-GPU Era,
03/05/1999,0.0409,0.0414,0.0404,0.041,5205467,0.611,0.03,0.88,0.0406,0.0401,0.0449,70.9,,Pre-GPU Era,
04/05/1999,0.0442,0.0444,0.0433,0.0438,16707492,0.592,0.03,2.01,0.0439,0.0408,0.0405,69.3,,Pre-GPU Era,
05/05/1999,0.0466,0.0473,0.0452,0.0463,12272202,0.615,0.03,1.13,0.045,0.0479,0.0428,38.1,,Pre-GPU Era,
06/05/1999,0.0483,0.0489,0.0473,0.048,4323837,0.604,0.03,1.27,0.0496,0.0472,0.048,49.2,,Pre-GPU Era,
07/05/1999,0.0508,0.0511,0.0498,0.0502,18862274,0.603,0.03,1.96,0.0501,0.0475,0.0436,70.4,,Pre-GPU Era,
10/05/1999,0.0539,0.0545,0.0532,0.0541,9040686,0.594,0.03,2.34,0.0545,0.0559,0.0465,48.7,,Pre-GPU Era,
11/05/1999,0.0573,0.0576,0.0567,0.057,17852880,0.611,0.03,2.23,0.0574,0.0593,0.0613,57.4,,Pre-GPU Era,
12/05/1999,0.0595,0.0598,0.0589,0.0592,16382771,0.615,0.04,1.6,0.0577,0.0559,0.0635,68.1,,Pre-GPU Era,
13/05/1999,0.0617,0.062,0.0604,0.0615,17853199,0.602,0.04,2.3,0.0595,0.0619,0.0539,54,,Pre-GPU Era,
14/05/1999,0.0636,0.0639,0.0635,0.0637,14145641,0.605,0.04,2.21,0.0633,0.063,0.059,65.8,,Pre-GPU Era,
17/05/1999,0.0681,0.0686,0.067,0.0677,15067649,0.605,0.04,1.78,0.0699,0.0713,0.0662,52.4,,Pre-GPU Era,
18/05/1999,0.0698,0.0704,0.0695,0.0701,16954099,0.617,0.04,1.95,0.0708,0.0721,0.077,67.8,,Pre-GPU Era,
19/05/1999,0.0726,0.0739,0.0718,0.0727,19102612,0.606,0.04,2.34,0.07,0.0717,0.0825,46.5,,Pre-GPU Era,
20/05/1999,0.0755,0.0771,0.0737,0.0754,7851856,0.616,0.05,2.12,0.0762,0.0805,0.0796,71.2,,Pre-GPU Era,
21/05/1999,0.0768,0.0771,0.0766,0.0769,8377354,0.591,0.05,2.02,0.0754,0.0817,0.0778,39.1,,Pre-GPU Era,
24/05/1999,0.0802,0.0814,0.0795,0.0804,6893918,0.608,0.05,0.84,0.0783,0.081,0.0781,44.5,,Pre-GPU Era,
25/05/1999,0.0832,0.0847,0.0825,0.0835,9680929,0.62,0.05,1.31,0.0807,0.0777,0.0812,59.4,,Pre-GPU Era,
26/05/1999,0.0861,0.0871,0.0854,0.0862,14832248,0.598,0.05,1.5,0.0832,0.0907,0.0866,58,,Pre-GPU Era,
27/05/1999,0.0892,0.0897,0.0881,0.0888,6679997,0.604,0.05,1.41,0.0887,0.094,0.0883,38.5,,Pre-GPU Era,
28/05/1999,0.0915,0.0926,0.0904,0.0915,6692646,0.604,0.06,1.76,0.0952,0.0933,0.0968,54.7,,Pre-GPU Era,
31/05/1999,0.0949,0.0953,0.0935,0.0943,19160854,0.617,0.06,1.78,0.0961,0.0953,0.0856,58.2,,Pre-GPU Era,
01/06/1999,0.0969,0.0981,0.0955,0.0972,19839084,0.605,0.06,2.01,0.095,0.1008,0.1036,68.7,,Pre-GPU Era,
02/06/1999,0.0994,0.1001,0.0992,0.0997,3230384,0.618,0.06,1.54,0.1036,0.0935,0.1062,57.8,,Pre-GPU Era,
03/06/1999,0.1025,0.1031,0.1009,0.1016,18064958,0.605,0.06,1.68,0.0986,0.1018,0.0879,68,,Pre-GPU Era,
04/06/1999,0.1032,0.1039,0.1018,0.1028,10781053,0.602,0.06,1.09,0.0989,0.0987,0.1039,54.4,,Pre-GPU Era,
07/06/1999,0.1075,0.1083,0.1061,0.1074,8576223,0.616,0.07,1.89,0.1092,0.1041,0.0913,67.4,,Pre-GPU Era,
08/06/1999,0.1097,0.1107,0.1081,0.1096,17776936,0.61,0.07,1.18,0.1137,0.1038,0.1089,40.9,,Pre-GPU Era,
09/06/1999,0.1126,0.113,0.1119,0.1124,5846620,0.614,0.07,1.9,0.1155,0.1107,0.1142,64.4,,Pre-GPU Era,
10/06/1999,0.1151,0.1154,0.1143,0.1147,13165292,0.6,0.07,0.93,0.1182,0.1095,0.1192,59.9,,Pre-GPU Era,
11/06/1999,0.1166,0.1173,0.1156,0.1161,14805148,0.603,0.07,1.01,0.1124,0.1225,0.1191,69.8,,Pre-GPU Era,
14/06/1999,0.1209,0.1218,0.1198,0.1206,10936259,0.61,0.07,2.41,0.1201,0.1248,0.1259,54.1,,Pre-GPU Era,
15/06/1999,0.1239,0.1246,0.1235,0.124,14696567,0.611,0.08,1.36,0.1208,0.1242,0.1242,42.7,,Pre-GPU Era,
16/06/1999,0.1254,0.1263,0.1249,0.1256,2462358,0.612,0.08,1.26,0.1277,0.1341,0.1082,57.3,,Pre-GPU Era,
17/06/1999,0.1274,0.1295,0.1267,0.1281,2729525,0.615,0.08,2.33,0.1276,0.12,0.1161,40.3,,Pre-GPU Era,
18/06/1999,0.1321,0.1329,0.1317,0.1322,4187329,0.61,0.08,0.96,0.1365,0.132,0.128,70.5,,Pre-GPU Era,
21/06/1999,0.135,0.1372,0.1341,0.1356,13453901,0.615,0.08,2.37,0.1371,0.1281,0.1517,64.9,,Pre-GPU Era,
22/06/1999,0.1366,0.1392,0.1356,0.138,17617257,0.599,0.08,1.29,0.1358,0.1412,0.1568,49.2,,Pre-GPU Era,
23/06/1999,0.1411,0.1418,0.139,0.1402,15821427,0.604,0.08,1.29,0.1386,0.131,0.1605,59.2,,Pre-GPU Era,
